Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.ManagerServlet	R	[]
throw $r11	R	[r0, r1, r2, r3, r4, $z0, $z1, $r10, r5, $r11]
n1 = null	U	[r0, r1, r2, r3, r4, $z0, r12, r6, $r19, r8]
n0 = null	U	[r0, r1, r2, r3, r4, $z0, r12, r6, $r19, r8]
r26 = $r25	U	[r0, r1, r2, r3, r4, $z0, r12, r6, $r13, $r14, r7, i0, $r25]
throw r8	R	[r0, r1, r2, r3, r4, $z0, r12, r6, $r19, r8]
goto [?= virtualinvoke r6.<java.io.BufferedOutputStream: void flush()>()]	R	[r0, r1, r2, r3, r4, $z0, r12, r6, $r13, $r14, r7, i0]
r6 = null	U	[r0, r1, r2, r3, r4, $z0, r12, r6, $r13, $r14, r7, i0]
r4 := @parameter3: org.apache.tomcat.util.res.StringManager	R	[r0, r1, r2, r3]
r3 := @parameter2: java.io.File	R	[r0, r1, r2]
$r25 := @caughtexception	R	[r0, r1, r2, r3, r4, $z0, r12, r6, $r13, $r14, r7, i0]
r1 := @parameter0: java.io.PrintWriter	R	[r0]
$r20 := @caughtexception	R	[r0, r1, r2, r3, r4, $z0, r12, r6, $r19, r8]
r22 = $r21	U	[r0, r1, r2, r3, r4, $z0, r12, r6, $r19, r8, $r21]
r12 = null	U	[r0, r1, r2, r3, r4, $z0, r12, r6, $r13, $r14, r7, i0]
r12 = interfaceinvoke r2.<javax.servlet.http.HttpServletRequest: javax.servlet.ServletInputStream getInputStream()>()	U	[r0, r1, r2, r3, r4, $z0, r12, r6]
n3 = null	U	[r0, r1, r2, r3, r4, $z0, r12, r6, $r13, $r14, r7, i0]
$r17[0] = r3	U	[r0, r1, r2, r3, r4, $z0, r12, r6, $r15, r16, $z2, $z3, $r17]
if $z1 != 0 goto r12 = null	R	[r0, r1, r2, r3, r4, $z0, $z1]
