Node	CRUD	DataFlowValue
r0 := @parameter0: org.apache.catalina.util.ContextName	R	[]
$r5 = virtualinvoke r0.<org.apache.catalina.util.ContextName: java.lang.String getPath()>()	U	[r0, r1, r2, $r4, $z0]
if $z1 == 0 goto r3 = null	R	[r0, r1, r2, $r4, $z0, $r5, $z1]
$r6 = virtualinvoke r0.<org.apache.catalina.util.ContextName: java.lang.String getPath()>()	U	[r0, r1, r2, r3]
if r0 == null goto $r7 = newarray (java.lang.Object)[1]	R	[r0, r1, r2, r3]
$r4 = virtualinvoke r0.<org.apache.catalina.util.ContextName: java.lang.String getPath()>()	U	[r0, r1, r2]
if $z0 != 0 goto return 1	R	[r0, r1, r2, $r4, $z0]
return 1	R	[r0, r1, r2, $r4, $z0]
return 0	R	[r0, r1, r2, r3, $r7, $r8]
r1 := @parameter1: java.io.PrintWriter	R	[r0]
$z1 = virtualinvoke $r5.<java.lang.String: boolean equals(java.lang.Object)>("")	U	[r0, r1, r2, $r4, $z0, $r5]
$z0 = virtualinvoke $r4.<java.lang.String: boolean startsWith(java.lang.String)>("/")	U	[r0, r1, r2, $r4]
r3 = null	U	[r0, r1, r2]
$r7[0] = r3	U	[r0, r1, r2, r3, $r7]
r3 = staticinvoke <org.apache.catalina.util.RequestUtil: java.lang.String filter(java.lang.String)>($r6)	U	[r0, r1, r2, r3, $r6]
$r7 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r8)	R	[r0, r1, r2, r3, $r7, $r8]
if r0 == null goto r3 = null	R	[r0, r1, r2]
$r8 = virtualinvoke r2.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.invalidPath", $r7)	U	[r0, r1, r2, r3, $r7]
r2 := @parameter2: org.apache.tomcat.util.res.StringManager	R	[r0, r1]
