Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.StatusManagerServlet	R	[]
if $z9 == 0 goto $z11 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("GlobalRequestProcessor")	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, $r12, $z6, r13, $z7, $z9]
$z11 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("GlobalRequestProcessor")	U	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, $r12, $z6, r13, $z7, $z9]
$z1 = virtualinvoke $r7.<java.lang.String: boolean equals(java.lang.Object)>("JMX.mbean.registered")	U	[r0, r1, r2, $z0, $r6, r3, $r7]
$r15 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector threadPools>	U	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, $r12, $z6, r13, $z7, $z9]
virtualinvoke $r8.<java.util.Vector: void addElement(java.lang.Object)>(r3)	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, r4, $z2, $r8]
r13 = virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("type")	U	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, $r12, $z6]
virtualinvoke $r11.<java.util.Vector: void addElement(java.lang.Object)>(r3)	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, r4, $z2, $z3, $z4, $z5, $r11]
if $z6 == 0 goto return	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, $r12, $z6]
$z9 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("ThreadPool")	U	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, $r12, $z6, r13, $z7]
if r4 == null goto return	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, r4]
$z0 = r1 instanceof javax.management.MBeanServerNotification	U	[r0, r1, r2]
$r16 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector globalRequestProcessors>	U	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, $r12, $z6, r13, $z7, $z9, $z11]
$z4 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("GlobalRequestProcessor")	U	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, r4, $z2, $z3]
if $z5 == 0 goto return	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, r4, $z2, $z3, $z4, $z5]
$z6 = virtualinvoke $r12.<java.lang.String: boolean equals(java.lang.Object)>("JMX.mbean.unregistered")	U	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, $r12]
if $z11 == 0 goto $z13 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("RequestProcessor")	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, $r12, $z6, r13, $z7, $z9, $z11]
r1 := @parameter0: javax.management.Notification	R	[r0]
r2 := @parameter1: java.lang.Object	R	[r0, r1]
virtualinvoke $r10.<java.util.Vector: void addElement(java.lang.Object)>(r3)	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, r4, $z2, $z3, $z4, $r10]
$z3 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("ThreadPool")	U	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, r4, $z2]
$r8 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector protocolHandlers>	U	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, r4, $z2]
goto [?= virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("j2eeType")]	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, $r12, $z6, r13, $z7, $z9, $z11, $r16]
virtualinvoke $r16.<java.util.Vector: boolean removeElement(java.lang.Object)>(r3)	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, $r12, $z6, r13, $z7, $z9, $z11, $r16]
r4 = virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("type")	U	[r0, r1, r2, $z0, $r6, r3, $r7, $z1]
virtualinvoke $r15.<java.util.Vector: boolean removeElement(java.lang.Object)>(r3)	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, $r12, $z6, r13, $z7, $z9, $r15]
virtualinvoke $r14.<java.util.Vector: boolean removeElement(java.lang.Object)>(r3)	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, $r12, $z6, r13, $z7, $r14]
if $z2 == 0 goto $z3 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("ThreadPool")	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, r4, $z2]
$r11 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector requestProcessors>	U	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, r4, $z2, $z3, $z4, $z5]
$r12 = virtualinvoke r1.<javax.management.Notification: java.lang.String getType()>()	U	[r0, r1, r2, $z0, $r6, r3, $r7, $z1]
if $z13 == 0 goto virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("j2eeType")	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, $r12, $z6, r13, $z7, $z9, $z11, $z13]
if $z1 == 0 goto $r12 = virtualinvoke r1.<javax.management.Notification: java.lang.String getType()>()	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1]
if $z7 == 0 goto $z9 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("ThreadPool")	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, $r12, $z6, r13, $z7]
virtualinvoke $r17.<java.util.Vector: boolean removeElement(java.lang.Object)>(r3)	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, $r12, $z6, r13, $z7, $z9, $z11, $z13, $r17]
if $z3 == 0 goto $z4 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("GlobalRequestProcessor")	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, r4, $z2, $z3]
$r10 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector globalRequestProcessors>	U	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, r4, $z2, $z3, $z4]
$z13 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("RequestProcessor")	U	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, $r12, $z6, r13, $z7, $z9, $z11]
goto [?= return]	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, r4, $z2, $z3, $z4, $z5, $r11]
if $z4 == 0 goto $z5 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("RequestProcessor")	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, r4, $z2, $z3, $z4]
virtualinvoke $r9.<java.util.Vector: void addElement(java.lang.Object)>(r3)	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, r4, $z2, $z3, $r9]
$r17 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector requestProcessors>	U	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, $r12, $z6, r13, $z7, $z9, $z11, $z13]
virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("j2eeType")	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, $r12, $z6, r13]
$r14 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector protocolHandlers>	U	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, $r12, $z6, r13, $z7]
if $z0 == 0 goto return	R	[r0, r1, r2, $z0]
r3 = virtualinvoke $r6.<javax.management.MBeanServerNotification: javax.management.ObjectName getMBeanName()>()	U	[r0, r1, r2, $z0, $r6]
$r9 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector threadPools>	U	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, r4, $z2, $z3]
return	R	[r0, r1, r2, $z0]
$r6 = (javax.management.MBeanServerNotification) r1	U	[r0, r1, r2, $z0]
$z5 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("RequestProcessor")	U	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, r4, $z2, $z3, $z4]
$z7 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("ProtocolHandler")	U	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, $r12, $z6, r13]
$r7 = virtualinvoke r1.<javax.management.Notification: java.lang.String getType()>()	U	[r0, r1, r2, $z0, $r6, r3]
$z2 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("ProtocolHandler")	U	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, r4]
if r13 == null goto virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("j2eeType")	R	[r0, r1, r2, $z0, $r6, r3, $r7, $z1, $r12, $z6, r13]
