Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.StatusManagerServlet	R	[]
$r46 = r0.<org.apache.catalina.manager.StatusManagerServlet: javax.management.MBeanServer mBeanServer>	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2, r33, $r34, r35, $r36, r37, r38, $z3, r43, $r44, r45]
$r47 := @caughtexception	R	[r0, $r6, $r7]
r48 = $r47	U	[r0, $r6, $r7, $r47]
goto [?= $z2 = interfaceinvoke r28.<java.util.Iterator: boolean hasNext()>()]	R	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28]
goto [?= $z0 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()]	R	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4]
r0.<org.apache.catalina.manager.StatusManagerServlet: javax.management.MBeanServer mBeanServer> = $r7	U	[r0, $r6, $r7]
$r32 = virtualinvoke r30.<javax.management.ObjectInstance: javax.management.ObjectName getObjectName()>()	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2, $r29, r30, $r31]
r23 = "*:type=GlobalRequestProcessor,*"	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1]
r4 = interfaceinvoke r3.<java.util.Set: java.util.Iterator iterator()>()	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3]
specialinvoke $r24.<javax.management.ObjectName: void <init>(java.lang.String)>(r23)	R	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24]
r33 = "*:type=RequestProcessor,*"	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2]
r3 = interfaceinvoke $r9.<javax.management.MBeanServer: java.util.Set queryMBeans(javax.management.ObjectName,javax.management.QueryExp)>(r2, null)	U	[r0, $r6, $r7, r1, $r8, r2, $r9]
$r41 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector requestProcessors>	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2, r33, $r34, r35, $r36, r37, r38, $z3, $r39, r40]
$r42 = virtualinvoke r40.<javax.management.ObjectInstance: javax.management.ObjectName getObjectName()>()	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2, r33, $r34, r35, $r36, r37, r38, $z3, $r39, r40, $r41]
$z3 = interfaceinvoke r38.<java.util.Iterator: boolean hasNext()>()	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2, r33, $r34, r35, $r36, r37, r38]
r40 = (javax.management.ObjectInstance) $r39	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2, r33, $r34, r35, $r36, r37, r38, $z3, $r39]
specialinvoke $r44.<javax.management.ObjectName: void <init>(java.lang.String)>(r43)	R	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2, r33, $r34, r35, $r36, r37, r38, $z3, r43, $r44]
goto [?= $z1 = interfaceinvoke r18.<java.util.Iterator: boolean hasNext()>()]	R	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18]
$r11 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector protocolHandlers>	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, $r10, r5]
$r9 = r0.<org.apache.catalina.manager.StatusManagerServlet: javax.management.MBeanServer mBeanServer>	U	[r0, $r6, $r7, r1, $r8, r2]
interfaceinvoke $r46.<javax.management.MBeanServer: void addNotificationListener(javax.management.ObjectName,javax.management.NotificationListener,javax.management.NotificationFilter,java.lang.Object)>(r45, r0, null, null)	R	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2, r33, $r34, r35, $r36, r37, r38, $z3, r43, $r44, r45, $r46]
$r26 = r0.<org.apache.catalina.manager.StatusManagerServlet: javax.management.MBeanServer mBeanServer>	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25]
