Node	CRUD	DataFlowValue
r0 := @parameter0: java.lang.String	R	null
if c1 != 39 goto (branch)	R	null
if r0 != null goto $r2 = new java.lang.StringBuilder	R	null
virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("&lt;")	R	null
virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("&gt;")	R	null
virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("&quot;")	R	null
$i2 = virtualinvoke r0.<java.lang.String: int length()>()	U	null
goto [?= $i2 = virtualinvoke r0.<java.lang.String: int length()>()]	R	null
specialinvoke $r2.<java.lang.StringBuilder: void <init>()>()	R	null
if c1 != 60 goto (branch)	R	null
return ""	R	null
if i0 < $i2 goto c1 = virtualinvoke r0.<java.lang.String: char charAt(int)>(i0)	R	null
virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("&amp;")	R	null
c1 = virtualinvoke r0.<java.lang.String: char charAt(int)>(i0)	U	null
goto [?= i0 = i0 + 1]	R	null
if c1 != 62 goto (branch)	R	null
virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("&apos;")	R	null
$r2 = new java.lang.StringBuilder	C	null
if c1 != 34 goto virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(c1)	R	null
return $r9	R	null
i0 = 0	U	null
i0 = i0 + 1	U	null
$r9 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.String toString()>()	U	null
r1 = $r2	U	null
if c1 != 38 goto (branch)	R	null
virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(c1)	R	null
