Node	CRUD	DataFlowValue
r0 := @parameter0: java.lang.Object	R	null
$i1 = virtualinvoke r1.<java.lang.String: int length()>()	U	null
specialinvoke $r4.<java.lang.StringBuilder: void <init>(int)>($i4)	R	null
virtualinvoke r1.<java.lang.String: void getChars(int,int,char[],int)>(0, $i2, r2, 0)	R	null
$r10 = virtualinvoke r3.<java.lang.StringBuilder: java.lang.String toString()>()	U	null
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("&amp;")	R	null
$c6 = r2[i0]	U	null
goto [?= $i7 = lengthof r2]	R	null
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("&lt;")	R	null
$i7 = lengthof r2	U	null
lookupswitch($c5) {     case 34: goto virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("&quot;");     case 38: goto virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("&amp;");     case 60: goto virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("&lt;");     case 62: goto virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("&gt;");     default: goto $c6 = r2[i0]; }	R	null
r2 = newarray (char)[$i1]	C	null
r3 = $r4	U	null
if r0 != null goto r1 = virtualinvoke r0.<java.lang.Object: java.lang.String toString()>()	R	null
return "?"	R	null
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("&quot;")	R	null
$r4 = new java.lang.StringBuilder	C	null
goto [?= i0 = i0 + 1]	R	null
$i4 = $i3 + 50	U	null
$i2 = virtualinvoke r1.<java.lang.String: int length()>()	U	null
r1 = virtualinvoke r0.<java.lang.Object: java.lang.String toString()>()	U	null
i0 = 0	U	null
i0 = i0 + 1	U	null
$c5 = r2[i0]	U	null
$i3 = lengthof r2	U	null
if i0 < $i7 goto $c5 = r2[i0]	R	null
return $r10	R	null
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("&gt;")	R	null
virtualinvoke r3.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c6)	R	null
