Node	CRUD	DataFlowValue
r0 := @parameter0: java.lang.Object	R	null
return $r15	R	null
l0 = neg l0	U	null
if $z2 == 0 goto (branch)	R	null
$r6 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(long)>(l1)	U	null
virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(48)	R	null
$l5 = l1 * 1048576L	U	null
$r14 = virtualinvoke $r12.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" KB")	U	null
$r11 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.String toString()>()	U	null
l1 = l0 / 1048576L	U	null
l0 = -1L	U	null
specialinvoke $r12.<java.lang.StringBuilder: void <init>(java.lang.String)>($r13)	R	null
goto [?= (branch)]	R	null
$r2 = (java.lang.Long) r0	U	null
$r12 = new java.lang.StringBuilder	C	null
if $b8 >= 0 goto $r9 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(long)>(l2)	R	null
$r9 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(long)>(l2)	U	null
virtualinvoke $r6.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(46)	R	null
$r13 = staticinvoke <java.lang.String: java.lang.String valueOf(long)>($l9)	U	null
l2 = $l7 / 1048576L	U	null
z0 := @parameter1: boolean	R	null
$i3 = virtualinvoke $r3.<java.lang.Integer: int intValue()>()	U	null
virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(45)	R	null
l0 = (long) $i3	U	null
$z1 = r0 instanceof java.lang.Long	U	null
if $z1 == 0 goto $z2 = r0 instanceof java.lang.Integer	R	null
specialinvoke $r4.<java.lang.StringBuilder: void <init>()>()	R	null
$r4 = new java.lang.StringBuilder	C	null
l0 = virtualinvoke $r2.<java.lang.Long: long longValue()>()	U	null
$l7 = $l6 * 100L	U	null
$r3 = (java.lang.Integer) r0	U	null
if z0 == 0 goto $r12 = new java.lang.StringBuilder	R	null
$b4 = l0 cmp 0L	U	null
$l6 = l0 - $l5	U	null
$l9 = l0 / 1024L	U	null
virtualinvoke $r9.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" MB")	R	null
r1 = $r4	U	null
$z2 = r0 instanceof java.lang.Integer	U	null
if $b4 >= 0 goto l1 = l0 / 1048576L	R	null
return $r11	R	null
$r15 = virtualinvoke $r14.<java.lang.StringBuilder: java.lang.String toString()>()	U	null
$b8 = l2 cmp 10L	U	null
