Node	CRUD	DataFlowValue
r0 := @parameter0: java.lang.Object	R	null
$r3 = new java.lang.StringBuilder	C	null
$r9 = virtualinvoke $r7.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" ms")	U	null
specialinvoke $r7.<java.lang.StringBuilder: void <init>(java.lang.String)>($r8)	R	null
if $z2 == 0 goto (branch)	R	null
specialinvoke $r3.<java.lang.StringBuilder: void <init>(java.lang.String)>($r4)	R	null
l0 = virtualinvoke $r1.<java.lang.Long: long longValue()>()	U	null
$f1 = $f0 / 1000.0F	U	null
l0 = -1L	U	null
$r4 = staticinvoke <java.lang.String: java.lang.String valueOf(float)>($f1)	U	null
$r2 = (java.lang.Integer) r0	U	null
$r8 = staticinvoke <java.lang.String: java.lang.String valueOf(long)>(l0)	U	null
goto [?= (branch)]	R	null
$r5 = virtualinvoke $r3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" s")	U	null
$r6 = virtualinvoke $r5.<java.lang.StringBuilder: java.lang.String toString()>()	U	null
$i1 = virtualinvoke $r2.<java.lang.Integer: int intValue()>()	U	null
z0 := @parameter1: boolean	R	null
l0 = (long) $i1	U	null
$z1 = r0 instanceof java.lang.Long	U	null
$f0 = (float) l0	U	null
if $z1 == 0 goto $z2 = r0 instanceof java.lang.Integer	R	null
$r7 = new java.lang.StringBuilder	C	null
$r10 = virtualinvoke $r9.<java.lang.StringBuilder: java.lang.String toString()>()	U	null
$r1 = (java.lang.Long) r0	U	null
if z0 == 0 goto $r7 = new java.lang.StringBuilder	R	null
return $r6	R	null
$z2 = r0 instanceof java.lang.Integer	U	null
return $r10	R	null
