Node	CRUD	DataFlowValue
r0 := @parameter0: java.io.PrintWriter	R	null
$r25 = virtualinvoke $r24.<java.lang.StringBuilder: java.lang.String toString()>()	U	null
if $z2 == 0 goto $z3 = interfaceinvoke r88.<java.util.Enumeration: boolean hasMoreElements()>()	R	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.Object)>(r7)	R	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("<br>")	R	null
r28 = null	U	null
i0 := @parameter6: int	R	null
$r48 = virtualinvoke $r47.<java.lang.StringBuilder: java.lang.String toString()>()	U	null
goto [?= $z7 = interfaceinvoke r147.<java.util.Enumeration: boolean hasMoreElements()>()]	R	null
$r39 = staticinvoke <org.apache.catalina.manager.StatusTransformer: java.lang.String formatTime(java.lang.Object,boolean)>($r38, 1)	U	null
$r18 = r6[2]	U	null
$r69 = r6[12]	U	null
$r118 = interfaceinvoke r3.<javax.management.MBeanServer: java.lang.Object getAttribute(javax.management.ObjectName,java.lang.String)>(r112, "maxTime")	U	null
$r40 = new java.lang.StringBuilder	C	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.Object)>($r11)	R	null
$r84 = r6[17]	U	null
$r11 = interfaceinvoke r3.<javax.management.MBeanServer: java.lang.Object getAttribute(javax.management.ObjectName,java.lang.String)>(r1, "maxThreads")	U	null
if $z5 != 0 goto $r114 = interfaceinvoke r113.<java.util.Enumeration: java.lang.Object nextElement()>()	R	null
$z6 = virtualinvoke r2.<java.lang.String: boolean equals(java.lang.Object)>($r150)	U	null
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>($r141)	R	null
$r123 = interfaceinvoke r3.<javax.management.MBeanServer: java.lang.Object getAttribute(javax.management.ObjectName,java.lang.String)>(r112, "processingTime")	U	null
$r103 = interfaceinvoke r3.<javax.management.MBeanServer: java.lang.Object getAttribute(javax.management.ObjectName,java.lang.String)>(r1, "currentThreadCount")	U	null
$r76 = virtualinvoke $r74.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r75)	U	null
$z3 = interfaceinvoke r88.<java.util.Enumeration: boolean hasMoreElements()>()	U	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r59)	R	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.Object)>($r31)	R	null
$r127 = new java.lang.StringBuilder	C	null
$r101 = virtualinvoke $r100.<java.lang.StringBuilder: java.lang.String toString()>()	U	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r39)	R	null
$r34 = new java.lang.StringBuilder	C	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r15)	R	null
$r13 = r6[1]	U	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("<tr>")	R	null
if $z0 == 0 goto $z1 = interfaceinvoke r8.<java.util.Enumeration: boolean hasMoreElements()>()	R	null
specialinvoke $r22.<java.lang.StringBuilder: void <init>(java.lang.String)>(" ")	R	null
specialinvoke $r132.<java.lang.StringBuilder: void <init>(java.lang.String)>(" errorCount=\"")	R	null
$r79 = virtualinvoke $r77.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r78)	U	null
r7 = interfaceinvoke r3.<javax.management.MBeanServer: java.lang.Object getAttribute(javax.management.ObjectName,java.lang.String)>(r1, "keepAliveCount")	U	null
$r74 = virtualinvoke $r73.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("</th><th>")	U	null
$r32 = interfaceinvoke r3.<javax.management.MBeanServer: java.lang.Object getAttribute(javax.management.ObjectName,java.lang.String)>(r28, "maxTime")	U	null
$r42 = virtualinvoke $r40.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r41)	U	null
$r119 = virtualinvoke $r117.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r118)	U	null
specialinvoke $r107.<java.lang.StringBuilder: void <init>(java.lang.String)>(" currentThreadsBusy=\"")	R	null
$r23 = r6[3]	U	null
r1 := @parameter1: javax.management.ObjectName	R	null
r149 = (javax.management.ObjectName) $r148	U	null
$r10 = r6[0]	U	null
if $z4 == 0 goto $z5 = interfaceinvoke r113.<java.util.Enumeration: boolean hasMoreElements()>()	R	null
$r12 = new java.lang.StringBuilder	C	null
$r29 = interfaceinvoke r8.<java.util.Enumeration: java.lang.Object nextElement()>()	U	null
$r71 = virtualinvoke $r70.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("</th><th>")	U	null
$r140 = virtualinvoke $r139.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\"")	U	null
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>($r106)	R	null
$r75 = r6[14]	U	null
$r87 = virtualinvoke $r86.<java.lang.StringBuilder: java.lang.String toString()>()	U	null
specialinvoke $r102.<java.lang.StringBuilder: void <init>(java.lang.String)>(" currentThreadCount=\"")	R	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("</table>")	R	null
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>($r136)	R	null
specialinvoke $r127.<java.lang.StringBuilder: void <init>(java.lang.String)>(" requestCount=\"")	R	null
$r117 = new java.lang.StringBuilder	C	null
r27 = $r26	U	null
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>($r126)	R	null
$r26 := @caughtexception	R	null
$r86 = virtualinvoke $r85.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("</th></tr>")	U	null
specialinvoke $r93.<java.lang.StringBuilder: void <init>(java.lang.String)>("<connector name=\'")	R	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.Object)>($r10)	R	null
specialinvoke $r17.<java.lang.StringBuilder: void <init>(java.lang.String)>(" ")	R	null
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>($r96)	R	null
$r150 = virtualinvoke r149.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("worker")	U	null
r112 = null	U	null
$r73 = virtualinvoke $r71.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r72)	U	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.Object)>($r16)	R	null
specialinvoke $r97.<java.lang.StringBuilder: void <init>(java.lang.String)>(" maxThreads=\"")	R	null
specialinvoke $r122.<java.lang.StringBuilder: void <init>(java.lang.String)>(" processingTime=\"")	R	null
$r50 = new java.lang.StringBuilder	C	null
$r134 = virtualinvoke $r132.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r133)	U	null
$r120 = virtualinvoke $r119.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\"")	U	null
goto [?= virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("<br>")]	R	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.Object)>($r92)	R	null
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("<workers>")	R	null
specialinvoke $r34.<java.lang.StringBuilder: void <init>(java.lang.String)>(" ")	R	null
if $z1 != 0 goto $r29 = interfaceinvoke r8.<java.util.Enumeration: java.lang.Object nextElement()>()	R	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("</h1>")	R	null
$r99 = virtualinvoke $r97.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r98)	U	null
$r141 = virtualinvoke $r140.<java.lang.StringBuilder: java.lang.String toString()>()	U	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r25)	R	null
$r77 = virtualinvoke $r76.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("</th><th>")	U	null
$r92 = r6[18]	U	null
$r121 = virtualinvoke $r120.<java.lang.StringBuilder: java.lang.String toString()>()	U	null
$r24 = virtualinvoke $r22.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r23)	U	null
$r78 = r6[15]	U	null
$r132 = new java.lang.StringBuilder	C	null
$r131 = virtualinvoke $r130.<java.lang.StringBuilder: java.lang.String toString()>()	U	null
if i0 != 0 goto (branch)	R	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r87)	R	null
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>($r146)	R	null
$r61 = staticinvoke <org.apache.catalina.manager.StatusTransformer: java.lang.String formatSize(java.lang.Object,boolean)>($r60, 1)	U	null
$r145 = virtualinvoke $r144.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\"")	U	null
$r125 = virtualinvoke $r124.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\"")	U	null
r88 = virtualinvoke r5.<java.util.Vector: java.util.Enumeration elements()>()	U	null
$z5 = interfaceinvoke r113.<java.util.Enumeration: boolean hasMoreElements()>()	U	null
