Node	CRUD	DataFlowValue
r0 := @parameter0: java.io.PrintWriter	R	null
$r21 = virtualinvoke r1.<javax.management.ObjectName: java.lang.String getDomain()>()	U	null
$z0 = virtualinvoke r4.<java.lang.String: boolean startsWith(java.lang.String)>("//")	U	null
$r39 = staticinvoke <org.apache.catalina.manager.StatusTransformer: java.lang.String filter(java.lang.Object)>(r4)	U	null
n1 = null	U	null
$r26 = virtualinvoke $r25.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r17)	U	null
$r31 = new java.lang.StringBuilder	C	null
if $z2 == 0 goto virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("<h1>")	R	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>(" TLD scan time: ")	R	null
$r54 = virtualinvoke $r53.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(",*")	U	null
$r37 = virtualinvoke $r36.<java.lang.StringBuilder: java.lang.String toString()>()	U	null
$r50 = virtualinvoke r1.<javax.management.ObjectName: java.lang.String getDomain()>()	U	null
r13 = $r55	U	null
goto [?= $r19 = new javax.management.ObjectName]	R	null
$r29 = interfaceinvoke r8.<java.util.Iterator: java.lang.Object next()>()	U	null
$r40 = new java.lang.StringBuilder	C	null
$z1 = interfaceinvoke r8.<java.util.Iterator: boolean hasNext()>()	U	null
specialinvoke $r41.<java.util.Date: void <init>(long)>($l2)	R	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("</a>")	R	null
if $z0 == 0 goto i1 = virtualinvoke r4.<java.lang.String: int indexOf(int)>(47)	R	null
staticinvoke <org.apache.catalina.manager.StatusTransformer: void writeManager(java.io.PrintWriter,javax.management.ObjectName,javax.management.MBeanServer,int)>(r0, r7, r2, i0)	R	null
r15 = interfaceinvoke r14.<java.util.Set: java.util.Iterator iterator()>()	U	null
$r41 = new java.util.Date	C	null
$r22 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>($r21)	U	null
$r36 = virtualinvoke $r35.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(",*")	U	null
$r48 = staticinvoke <org.apache.catalina.manager.StatusTransformer: java.lang.String formatTime(java.lang.Object,boolean)>($r47, 0)	U	null
if r4 != null goto n0 = null	R	null
r4 = r3	U	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r39)	R	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r44)	R	null
r7 = null	U	null
$z3 = interfaceinvoke r15.<java.util.Iterator: boolean hasNext()>()	U	null
specialinvoke $r30.<javax.management.ObjectName: void <init>(java.lang.String)>($r37)	R	null
$r45 = interfaceinvoke r2.<javax.management.MBeanServer: java.lang.Object getAttribute(javax.management.ObjectName,java.lang.String)>(r1, "startupTime")	U	null
r18 = virtualinvoke r4.<java.lang.String: java.lang.String substring(int)>(i1)	U	null
r9 = $r30	U	null
r38 = ""	U	null
goto [?= $z1 = interfaceinvoke r8.<java.util.Iterator: boolean hasNext()>()]	R	null
$r24 = virtualinvoke $r23.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r18)	U	null
if r7 == null goto (branch)	R	null
r1 := @parameter1: javax.management.ObjectName	R	null
r3 = virtualinvoke r1.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("name")	U	null
$r30 = new javax.management.ObjectName	C	null
$r46 = staticinvoke <org.apache.catalina.manager.StatusTransformer: java.lang.String formatTime(java.lang.Object,boolean)>($r45, 0)	U	null
r16 = (javax.management.ObjectInstance) $r56	U	null
return	R	null
specialinvoke $r49.<java.lang.StringBuilder: void <init>(java.lang.String)>($r51)	R	null
$r28 = virtualinvoke $r27.<java.lang.StringBuilder: java.lang.String toString()>()	U	null
r5 = $r19	U	null
if r10 == null goto virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("</p>")	R	null
$r53 = virtualinvoke $r52.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r3)	U	null
$r52 = virtualinvoke $r49.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(":j2eeType=Servlet,WebModule=")	U	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r46)	R	null
if i1 == -1 goto return	R	null
$r55 = new javax.management.ObjectName	C	null
r10 = interfaceinvoke r2.<javax.management.MBeanServer: java.util.Set queryNames(javax.management.ObjectName,javax.management.QueryExp)>(r9, null)	U	null
$r33 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>($r32)	U	null
r17 = virtualinvoke r4.<java.lang.String: java.lang.String substring(int,int)>(0, i1)	U	null
r6 = interfaceinvoke r2.<javax.management.MBeanServer: java.util.Set queryNames(javax.management.ObjectName,javax.management.QueryExp)>(r5, null)	U	null
$r25 = virtualinvoke $r24.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(",host=")	U	null
n0 = null	U	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("<h1>")	R	null
$r49 = new java.lang.StringBuilder	C	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>(" Startup time: ")	R	null
$r27 = virtualinvoke $r26.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(",*")	U	null
i0 := @parameter3: int	R	null
r11 = interfaceinvoke r2.<javax.management.MBeanServer: java.lang.Object getAttribute(javax.management.ObjectName,java.lang.String)>(r1, "startTime")	U	null
$z2 = virtualinvoke r18.<java.lang.String: boolean equals(java.lang.Object)>("/")	U	null
if $z3 != 0 goto $r56 = interfaceinvoke r15.<java.util.Iterator: java.lang.Object next()>()	R	null
r12 = virtualinvoke $r54.<java.lang.StringBuilder: java.lang.String toString()>()	U	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("</h1>")	R	null
$r19 = new javax.management.ObjectName	C	null
$r23 = virtualinvoke $r20.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(":type=Manager,context=")	U	null
$r47 = interfaceinvoke r2.<javax.management.MBeanServer: java.lang.Object getAttribute(javax.management.ObjectName,java.lang.String)>(r1, "tldScanTime")	U	null
$r51 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>($r50)	U	null
specialinvoke $r20.<java.lang.StringBuilder: void <init>(java.lang.String)>($r22)	R	null
$r35 = virtualinvoke $r34.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r3)	U	null
specialinvoke $r55.<javax.management.ObjectName: void <init>(java.lang.String)>(r12)	R	null
