Node	CRUD	DataFlowValue
r0 := @parameter0: java.io.PrintWriter	R	null
$r8 = interfaceinvoke r4.<java.util.Iterator: java.lang.Object next()>()	U	null
goto [?= $z2 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()]	R	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("<br>")	R	null
r16 = (javax.management.ObjectName) $r15	U	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r12)	R	null
$r12 = virtualinvoke $r11.<java.lang.StringBuilder: java.lang.String toString()>()	U	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("<h1>")	R	null
r6 = virtualinvoke r6.<java.lang.String: java.lang.String substring(int)>(2)	U	null
r4 = interfaceinvoke r3.<java.util.Set: java.util.Iterator iterator()>()	U	null
$r10 = virtualinvoke $r9.<java.lang.StringBuilder: java.lang.StringBuilder append(int)>($i3)	U	null
$i5 = i4	U	null
if $z0 == 0 goto i2 = virtualinvoke r6.<java.lang.String: int indexOf(int)>(47)	R	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("</a>")	R	null
$z0 = virtualinvoke r6.<java.lang.String: boolean startsWith(java.lang.String)>("//")	U	null
specialinvoke $r9.<java.lang.StringBuilder: void <init>(java.lang.String)>("<a href=\"#")	R	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("</h1>")	R	null
i1 = i1 + 1	U	null
$z1 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()	U	null
r1 := @parameter1: javax.management.MBeanServer	R	null
$r13 = staticinvoke <org.apache.catalina.manager.StatusTransformer: java.lang.String filter(java.lang.Object)>(r6)	U	null
r6 = virtualinvoke r5.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("name")	U	null
$r18 = virtualinvoke $r17.<java.lang.StringBuilder: java.lang.StringBuilder append(int)>($i5)	U	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r20)	R	null
$r19 = virtualinvoke $r18.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(".0\">")	U	null
$r9 = new java.lang.StringBuilder	C	null
if $z2 != 0 goto $r8 = interfaceinvoke r4.<java.util.Iterator: java.lang.Object next()>()	R	null
i4 = 0	U	null
r5 = (javax.management.ObjectName) $r8	U	null
$i3 = i1	U	null
if i2 != -1 goto $r9 = new java.lang.StringBuilder	R	null
specialinvoke $r7.<javax.management.ObjectName: void <init>(java.lang.String)>("*:j2eeType=WebModule,*")	R	null
if $z3 != 0 goto $r15 = interfaceinvoke r14.<java.util.Iterator: java.lang.Object next()>()	R	null
$r17 = new java.lang.StringBuilder	C	null
specialinvoke $r17.<java.lang.StringBuilder: void <init>(java.lang.String)>("<a class=\"A.name\" name=\"")	R	null
$r11 = virtualinvoke $r10.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(".0\">")	U	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("<p>")	R	null
i1 = 0	U	null
i4 = i4 + 1	U	null
i0 := @parameter2: int	R	null
r2 = $r7	U	null
i2 = virtualinvoke r6.<java.lang.String: int indexOf(int)>(47)	U	null
r3 = interfaceinvoke r1.<javax.management.MBeanServer: java.util.Set queryNames(javax.management.ObjectName,javax.management.QueryExp)>(r2, null)	U	null
staticinvoke <org.apache.catalina.manager.StatusTransformer: void writeContext(java.io.PrintWriter,javax.management.ObjectName,javax.management.MBeanServer,int)>(r0, r16, r1, i0)	R	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("Application list")	R	null
if i0 != 0 goto return	R	null
$r7 = new javax.management.ObjectName	C	null
return	R	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r13)	R	null
if $z1 == 0 goto $z2 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()	R	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("</p>")	R	null
$z3 = interfaceinvoke r14.<java.util.Iterator: boolean hasNext()>()	U	null
goto [?= $z3 = interfaceinvoke r14.<java.util.Iterator: boolean hasNext()>()]	R	null
r14 = interfaceinvoke r3.<java.util.Set: java.util.Iterator iterator()>()	U	null
$r20 = virtualinvoke $r19.<java.lang.StringBuilder: java.lang.String toString()>()	U	null
$z2 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()	U	null
$r15 = interfaceinvoke r14.<java.util.Iterator: java.lang.Object next()>()	U	null
