Node	CRUD	DataFlowValue
r0 := @parameter0: java.io.PrintWriter	R	null
$r110 = virtualinvoke $r109.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	U	null
$r8 = interfaceinvoke r4.<java.util.Iterator: java.lang.Object next()>()	U	null
$r47 = r1[7]	U	null
$l8 = virtualinvoke r58.<java.lang.management.MemoryUsage: long getMax()>()	U	null
$r99 = new java.lang.StringBuilder	C	null
specialinvoke $r9.<java.lang.StringBuilder: void <init>()>()	R	null
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>($r103)	R	null
$r80 = virtualinvoke $r78.<java.lang.StringBuilder: java.lang.StringBuilder append(long)>($l15)	U	null
$r117 = virtualinvoke $r116.<java.lang.StringBuilder: java.lang.StringBuilder append(long)>($l20)	U	null
r4 = interfaceinvoke $r7.<java.util.List: java.util.Iterator iterator()>()	U	null
$r118 = virtualinvoke $r117.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'/>")	U	null
$r70 = virtualinvoke $r69.<java.lang.StringBuilder: java.lang.StringBuilder append(long)>($l13)	U	null
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>($r72)	R	null
$l18 = virtualinvoke r92.<java.lang.management.MemoryUsage: long getCommitted()>()	U	null
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("<tr><td>")	R	null
$r10 = interfaceinvoke r5.<java.lang.management.MemoryPoolMXBean: java.lang.management.MemoryType getType()>()	U	null
$r119 = virtualinvoke $r118.<java.lang.StringBuilder: java.lang.String toString()>()	U	null
$l5 = virtualinvoke r58.<java.lang.management.MemoryUsage: long getCommitted()>()	U	null
interfaceinvoke r3.<java.util.SortedMap: java.lang.Object put(java.lang.Object,java.lang.Object)>(r6, r5)	R	null
specialinvoke $r2.<java.util.TreeMap: void <init>()>()	R	null
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r59)	R	null
specialinvoke $r104.<java.lang.StringBuilder: void <init>(java.lang.String)>(" usageInit=\'")	R	null
$r34 = new java.lang.StringBuilder	C	null
$r9 = new java.lang.StringBuilder	C	null
