Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.host.HostManagerServlet	R	null
virtualinvoke r0.<org.apache.catalina.manager.host.HostManagerServlet: void remove(java.io.PrintWriter,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r6, r5, r3)	R	null
if $z0 == 0 goto $z1 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/remove")	R	null
virtualinvoke r0.<org.apache.catalina.manager.host.HostManagerServlet: void start(java.io.PrintWriter,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r6, r5, r3)	R	null
r5 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("name")	U	null
$r7 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.util.Enumeration getLocales()>()	U	null
if r4 != null goto $z0 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/add")	R	null
r3 = staticinvoke <org.apache.tomcat.util.res.StringManager: org.apache.tomcat.util.res.StringManager getManager(java.lang.String,java.util.Enumeration)>("org.apache.catalina.manager.host", $r7)	U	null
r6 = interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: java.io.PrintWriter getWriter()>()	U	null
interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setContentType(java.lang.String)>("text/plain; charset=utf-8")	R	null
virtualinvoke r6.<java.io.PrintWriter: void println(java.lang.String)>($r12)	R	null
$z0 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/add")	U	null
$r9 = virtualinvoke $r8.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("hostManagerServlet.noCommand")	U	null
$r11 = newarray (java.lang.Object)[1]	C	null
r1 := @parameter0: javax.servlet.http.HttpServletRequest	R	null
$r8 = <org.apache.catalina.manager.host.HostManagerServlet: org.apache.tomcat.util.res.StringManager sm>	U	null
if $z1 == 0 goto $z2 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/list")	R	null
virtualinvoke r6.<java.io.PrintWriter: void close()>()	R	null
$z4 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/stop")	U	null
virtualinvoke r0.<org.apache.catalina.manager.host.HostManagerServlet: void add(javax.servlet.http.HttpServletRequest,java.io.PrintWriter,java.lang.String,boolean,org.apache.tomcat.util.res.StringManager)>(r1, r6, r5, 0, r3)	R	null
if r4 != null goto r5 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("name")	R	null
$r10 = <org.apache.catalina.manager.host.HostManagerServlet: org.apache.tomcat.util.res.StringManager sm>	U	null
virtualinvoke r0.<org.apache.catalina.manager.host.HostManagerServlet: void list(java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r6, r3)	R	null
r2 := @parameter1: javax.servlet.http.HttpServletResponse	R	null
$z1 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/remove")	U	null
if $z2 == 0 goto $z3 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/start")	R	null
r4 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getServletPath()>()	U	null
virtualinvoke r6.<java.io.PrintWriter: void flush()>()	R	null
$z2 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/list")	U	null
return	R	null
$r11[0] = r4	U	null
virtualinvoke r0.<org.apache.catalina.manager.host.HostManagerServlet: void stop(java.io.PrintWriter,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r6, r5, r3)	R	null
if $z3 == 0 goto $z4 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/stop")	R	null
interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setHeader(java.lang.String,java.lang.String)>("X-Content-Type-Options", "nosniff")	R	null
r4 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getPathInfo()>()	U	null
$r12 = virtualinvoke $r10.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("hostManagerServlet.unknownCommand", $r11)	U	null
if $z4 == 0 goto $r10 = <org.apache.catalina.manager.host.HostManagerServlet: org.apache.tomcat.util.res.StringManager sm>	R	null
$z3 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/start")	U	null
virtualinvoke r6.<java.io.PrintWriter: void println(java.lang.String)>($r9)	R	null
goto [?= virtualinvoke r6.<java.io.PrintWriter: void flush()>()]	R	null
