Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.host.HostManagerServlet	R	null
return r4	R	null
$r6 = virtualinvoke r4.<org.apache.tomcat.util.res.StringManager: java.util.Locale getLocale()>()	U	null
if $z1 != 0 goto $r5 = interfaceinvoke r2.<java.util.Enumeration: java.lang.Object nextElement()>()	R	null
r4 = staticinvoke <org.apache.tomcat.util.res.StringManager: org.apache.tomcat.util.res.StringManager getManager(java.lang.String,java.util.Locale)>("org.apache.catalina.manager.host", r3)	U	null
goto [?= $z1 = interfaceinvoke r2.<java.util.Enumeration: boolean hasMoreElements()>()]	R	null
$r5 = interfaceinvoke r2.<java.util.Enumeration: java.lang.Object nextElement()>()	U	null
if $z0 == 0 goto $z1 = interfaceinvoke r2.<java.util.Enumeration: boolean hasMoreElements()>()	R	null
r1 := @parameter0: javax.servlet.http.HttpServletRequest	R	null
return $r7	R	null
r3 = (java.util.Locale) $r5	U	null
$r7 = <org.apache.catalina.manager.host.HostManagerServlet: org.apache.tomcat.util.res.StringManager sm>	U	null
$z1 = interfaceinvoke r2.<java.util.Enumeration: boolean hasMoreElements()>()	U	null
$z0 = virtualinvoke $r6.<java.util.Locale: boolean equals(java.lang.Object)>(r3)	U	null
r2 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.util.Enumeration getLocales()>()	U	null
