Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.host.HostManagerServlet	R	null
r8 = interfaceinvoke $r7.<javax.servlet.ServletConfig: java.lang.String getInitParameter(java.lang.String)>("debug")	U	null
specialinvoke $r5.<javax.servlet.UnavailableException: void <init>(java.lang.String)>($r6)	R	null
staticinvoke <org.apache.tomcat.util.ExceptionUtils: void handleThrowable(java.lang.Throwable)>(r2)	R	null
if $r4 != null goto n0 = null	R	null
$r3 = r0.<org.apache.catalina.manager.host.HostManagerServlet: org.apache.catalina.Wrapper wrapper>	U	null
$r4 = r0.<org.apache.catalina.manager.host.HostManagerServlet: org.apache.catalina.Context context>	U	null
$r7 = virtualinvoke r0.<org.apache.catalina.manager.host.HostManagerServlet: javax.servlet.ServletConfig getServletConfig()>()	U	null
return	R	null
n0 = null	U	null
r0.<org.apache.catalina.manager.host.HostManagerServlet: int debug> = $i0	U	null
$r5 = new javax.servlet.UnavailableException	C	null
r2 = $r9	U	null
$i0 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>(r8)	U	null
$r1 = <org.apache.catalina.manager.host.HostManagerServlet: org.apache.tomcat.util.res.StringManager sm>	U	null
goto [?= return]	R	null
if $r3 == null goto $r5 = new javax.servlet.UnavailableException	R	null
$r9 := @caughtexception	R	null
throw $r5	R	null
$r6 = virtualinvoke $r1.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("hostManagerServlet.noWrapper")	U	null
