Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.host.HostManagerServlet	R	null
goto [?= $r10 = staticinvoke <org.apache.tomcat.util.modeler.Registry: org.apache.tomcat.util.modeler.Registry getRegistry(java.lang.Object,java.lang.Object)>(null, null)]	R	null
r1 := @parameter0: org.apache.catalina.Wrapper	R	null
r0.<org.apache.catalina.manager.host.HostManagerServlet: javax.management.MBeanServer mBeanServer> = $r11	U	null
r0.<org.apache.catalina.manager.host.HostManagerServlet: org.apache.catalina.Context context> = $r3	U	null
$r4 = r0.<org.apache.catalina.manager.host.HostManagerServlet: org.apache.catalina.Context context>	U	null
return	R	null
$r11 = virtualinvoke $r10.<org.apache.tomcat.util.modeler.Registry: javax.management.MBeanServer getMBeanServer()>()	U	null
$r7 = r0.<org.apache.catalina.manager.host.HostManagerServlet: org.apache.catalina.Host installedHost>	U	null
r0.<org.apache.catalina.manager.host.HostManagerServlet: org.apache.catalina.Host installedHost> = $r6	U	null
$r8 = interfaceinvoke $r7.<org.apache.catalina.Host: org.apache.catalina.Container getParent()>()	U	null
$r5 = interfaceinvoke $r4.<org.apache.catalina.Context: org.apache.catalina.Container getParent()>()	U	null
r0.<org.apache.catalina.manager.host.HostManagerServlet: org.apache.catalina.Wrapper wrapper> = r1	U	null
r0.<org.apache.catalina.manager.host.HostManagerServlet: org.apache.catalina.Context context> = null	U	null
$r2 = interfaceinvoke r1.<org.apache.catalina.Wrapper: org.apache.catalina.Container getParent()>()	U	null
$r6 = (org.apache.catalina.Host) $r5	U	null
$r3 = (org.apache.catalina.Context) $r2	U	null
if r1 != null goto $r2 = interfaceinvoke r1.<org.apache.catalina.Wrapper: org.apache.catalina.Container getParent()>()	R	null
r0.<org.apache.catalina.manager.host.HostManagerServlet: org.apache.catalina.Engine engine> = null	U	null
$r10 = staticinvoke <org.apache.tomcat.util.modeler.Registry: org.apache.tomcat.util.modeler.Registry getRegistry(java.lang.Object,java.lang.Object)>(null, null)	U	null
$r9 = (org.apache.catalina.Engine) $r8	U	null
r0.<org.apache.catalina.manager.host.HostManagerServlet: org.apache.catalina.Host installedHost> = null	U	null
r0.<org.apache.catalina.manager.host.HostManagerServlet: org.apache.catalina.Engine engine> = $r9	U	null
