Node	CRUD	DataFlowValue
r0 := @parameter0: org.w3c.dom.Node	R	null
$r4 = interfaceinvoke r3.<org.w3c.dom.Node: java.lang.String getNodeName()>()	U	null
r1 := @parameter1: java.lang.String	R	null
r3 = interfaceinvoke r3.<org.w3c.dom.Node: org.w3c.dom.Node getNextSibling()>()	U	null
return null	R	null
$r5 = staticinvoke <org.apache.tomcat.util.DomUtil: java.lang.String getContent(org.w3c.dom.Node)>(r3)	U	null
$z0 = virtualinvoke r1.<java.lang.String: boolean equals(java.lang.Object)>($r4)	U	null
if $z0 == 0 goto r3 = interfaceinvoke r3.<org.w3c.dom.Node: org.w3c.dom.Node getNextSibling()>()	R	null
if r2 != null goto r3 = r2	R	null
r3 = r2	U	null
return $r5	R	null
if r3 != null goto $r4 = interfaceinvoke r3.<org.w3c.dom.Node: java.lang.String getNodeName()>()	R	null
r2 = interfaceinvoke r0.<org.w3c.dom.Node: org.w3c.dom.Node getFirstChild()>()	U	null
goto [?= (branch)]	R	null
