Node	CRUD	DataFlowValue
r0 := @parameter0: java.lang.Object	R	null
r6 = $r17	U	null
$r14 = virtualinvoke $r13.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("=")	U	null
if $z0 == 0 goto staticinvoke <org.apache.tomcat.util.IntrospectionUtils: boolean setProperty(java.lang.Object,java.lang.String,java.lang.String)>(r0, r4, r5)	R	null
$r7 = <org.apache.tomcat.util.DomUtil: org.apache.juli.logging.Log log>	U	null
r1 := @parameter1: org.w3c.dom.Node	R	null
$r16 = virtualinvoke $r15.<java.lang.StringBuilder: java.lang.String toString()>()	U	null
r3 = interfaceinvoke r2.<org.w3c.dom.NamedNodeMap: org.w3c.dom.Node item(int)>(i0)	U	null
$r11 = virtualinvoke $r9.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r10)	U	null
$i1 = interfaceinvoke r2.<org.w3c.dom.NamedNodeMap: int getLength()>()	U	null
staticinvoke <org.apache.tomcat.util.IntrospectionUtils: boolean setProperty(java.lang.Object,java.lang.String,java.lang.String)>(r0, r4, r5)	R	null
interfaceinvoke $r8.<org.apache.juli.logging.Log: void trace(java.lang.Object)>($r16)	R	null
$r8 = <org.apache.tomcat.util.DomUtil: org.apache.juli.logging.Log log>	U	null
virtualinvoke r6.<java.lang.Exception: void printStackTrace()>()	R	null
$z0 = interfaceinvoke $r7.<org.apache.juli.logging.Log: boolean isTraceEnabled()>()	U	null
$r15 = virtualinvoke $r14.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r5)	U	null
if i0 < $i1 goto r3 = interfaceinvoke r2.<org.w3c.dom.NamedNodeMap: org.w3c.dom.Node item(int)>(i0)	R	null
if r2 != null goto i0 = 0	R	null
return	R	null
$r10 = interfaceinvoke r1.<org.w3c.dom.Node: java.lang.String getNodeName()>()	U	null
r2 = interfaceinvoke r1.<org.w3c.dom.Node: org.w3c.dom.NamedNodeMap getAttributes()>()	U	null
goto [?= i0 = i0 + 1]	R	null
$r12 = virtualinvoke $r11.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" ")	U	null
$r13 = virtualinvoke $r12.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r4)	U	null
specialinvoke $r9.<java.lang.StringBuilder: void <init>(java.lang.String)>("Attribute ")	R	null
i0 = i0 + 1	U	null
i0 = 0	U	null
$r17 := @caughtexception	R	null
r5 = interfaceinvoke r3.<org.w3c.dom.Node: java.lang.String getNodeValue()>()	U	null
r4 = interfaceinvoke r3.<org.w3c.dom.Node: java.lang.String getNodeName()>()	U	null
$r9 = new java.lang.StringBuilder	C	null
goto [?= $i1 = interfaceinvoke r2.<org.w3c.dom.NamedNodeMap: int getLength()>()]	R	null
