Node	CRUD	DataFlowValue
r0 := @this: org.apache.tomcat.util.http.mapper.Mapper	R	null
$r5 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts>	U	null
$r7 = new org.apache.tomcat.util.http.mapper.Mapper$Host	C	null
r4 = $r7	U	null
if $z0 == 0 goto return	R	null
specialinvoke $r7.<org.apache.tomcat.util.http.mapper.Mapper$Host: void <init>(java.lang.String,org.apache.tomcat.util.http.mapper.Mapper$Host)>(r2, r3)	R	null
return	R	null
$r6 = staticinvoke <org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$MapElement exactFind(org.apache.tomcat.util.http.mapper.Mapper$MapElement[],java.lang.String)>($r5, r1)	U	null
if r3 != null goto $r7 = new org.apache.tomcat.util.http.mapper.Mapper$Host	R	null
virtualinvoke r3.<org.apache.tomcat.util.http.mapper.Mapper$Host: void addAlias(org.apache.tomcat.util.http.mapper.Mapper$Host)>(r4)	R	null
$z0 = specialinvoke r0.<org.apache.tomcat.util.http.mapper.Mapper: boolean addHostAliasImpl(org.apache.tomcat.util.http.mapper.Mapper$Host)>(r4)	U	null
r1 := @parameter0: java.lang.String	R	null
r3 = (org.apache.tomcat.util.http.mapper.Mapper$Host) $r6	U	null
r2 := @parameter1: java.lang.String	R	null
