Node	CRUD	DataFlowValue
r0 := @this: org.apache.tomcat.util.http.mapper.Mapper	R	null
r32 = $r31	U	null
if $r20 != r3 goto $r26 = <org.apache.tomcat.util.http.mapper.Mapper: org.apache.juli.logging.Log log>	R	null
r7 = r2	U	null
specialinvoke $r11.<org.apache.tomcat.util.http.mapper.Mapper$Host: void <init>(java.lang.String,java.lang.Object)>(r1, r3)	R	null
$r18 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts>	U	null
$r11 = new org.apache.tomcat.util.http.mapper.Mapper$Host	C	null
interfaceinvoke $r26.<org.apache.juli.logging.Log: void error(java.lang.Object)>($r30)	R	null
if $z1 == 0 goto $r31 = new java.util.ArrayList	R	null
r4 = newarray (org.apache.tomcat.util.http.mapper.Mapper$Host)[$i3]	C	null
specialinvoke $r31.<java.util.ArrayList: void <init>(int)>($i5)	R	null
specialinvoke $r34.<org.apache.tomcat.util.http.mapper.Mapper$Host: void <init>(java.lang.String,org.apache.tomcat.util.http.mapper.Mapper$Host)>(r8, r5)	R	null
$r15 = <org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.res.StringManager sm>	U	null
r6 = $r18[$i4]	U	null
$r10 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts>	U	null
$r27 = <org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.res.StringManager sm>	U	null
r3 := @parameter2: java.lang.Object	R	null
$r34 = new org.apache.tomcat.util.http.mapper.Mapper$Host	C	null
$r30 = virtualinvoke $r27.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("mapper.duplicateHost", $r28)	U	null
if $z2 == 0 goto r5 = r6	R	null
$r24[0] = r1	U	null
$z3 = specialinvoke r0.<org.apache.tomcat.util.http.mapper.Mapper: boolean addHostAliasImpl(org.apache.tomcat.util.http.mapper.Mapper$Host)>(r9)	U	null
$r31 = new java.util.ArrayList	C	null
$r26 = <org.apache.tomcat.util.http.mapper.Mapper: org.apache.juli.logging.Log log>	U	null
i1 = i1 + 1	U	null
r2 := @parameter1: java.lang.String[]	R	null
$r24 = newarray (java.lang.Object)[1]	C	null
interfaceinvoke r32.<java.util.List: boolean add(java.lang.Object)>(r9)	R	null
$r28 = newarray (java.lang.Object)[2]	C	null
if $z3 == 0 goto i1 = i1 + 1	R	null
i0 = lengthof r2	U	null
$i2 = lengthof $r10	U	null
$r22 = <org.apache.tomcat.util.http.mapper.Mapper: org.apache.juli.logging.Log log>	U	null
r9 = $r34	U	null
$i4 = staticinvoke <org.apache.tomcat.util.http.mapper.Mapper: int find(org.apache.tomcat.util.http.mapper.Mapper$MapElement[],java.lang.String)>($r19, r1)	U	null
$r23 = <org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.res.StringManager sm>	U	null
interfaceinvoke $r22.<org.apache.juli.logging.Log: void debug(java.lang.Object)>($r25)	R	null
r8 = r7[i1]	U	null
$r13 = <org.apache.tomcat.util.http.mapper.Mapper: org.apache.juli.logging.Log log>	U	null
i1 = 0	U	null
$i5 = lengthof r2	U	null
r1 := @parameter0: java.lang.String	R	null
$r20 = r6.<org.apache.tomcat.util.http.mapper.Mapper$Host: java.lang.Object object>	U	null
$r17 = virtualinvoke $r15.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("mapper.addHost.success", $r16)	U	null
interfaceinvoke $r14.<org.apache.juli.logging.Log: void debug(java.lang.Object)>($r17)	R	null
$r16 = newarray (java.lang.Object)[1]	C	null
$z1 = interfaceinvoke $r13.<org.apache.juli.logging.Log: boolean isDebugEnabled()>()	U	null
$r21 = <org.apache.tomcat.util.http.mapper.Mapper: org.apache.juli.logging.Log log>	U	null
goto [?= (branch)]	R	null
$r25 = virtualinvoke $r23.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("mapper.addHost.sameHost", $r24)	U	null
$r19 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts>	U	null
r5 = r6	U	null
if i1 < i0 goto r8 = r7[i1]	R	null
r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts> = r4	U	null
$r28[0] = r1	U	null
$r29 = virtualinvoke r6.<org.apache.tomcat.util.http.mapper.Mapper$Host: java.lang.String getRealHostName()>()	U	null
return	R	null
$z0 = staticinvoke <org.apache.tomcat.util.http.mapper.Mapper: boolean insertMap(org.apache.tomcat.util.http.mapper.Mapper$MapElement[],org.apache.tomcat.util.http.mapper.Mapper$MapElement[],org.apache.tomcat.util.http.mapper.Mapper$MapElement)>($r12, r4, r5)	U	null
r5 = $r11	U	null
goto [?= $r31 = new java.util.ArrayList]	R	null
$r14 = <org.apache.tomcat.util.http.mapper.Mapper: org.apache.juli.logging.Log log>	U	null
if $z0 == 0 goto $r18 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts>	R	null
$r12 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts>	U	null
$z2 = interfaceinvoke $r21.<org.apache.juli.logging.Log: boolean isDebugEnabled()>()	U	null
virtualinvoke r5.<org.apache.tomcat.util.http.mapper.Mapper$Host: void addAliases(java.util.Collection)>(r32)	R	null
$r16[0] = r1	U	null
$r28[1] = $r29	U	null
$i3 = $i2 + 1	U	null
