Node	CRUD	DataFlowValue
r0 := @this: org.apache.tomcat.util.http.mapper.Mapper	R	null
$r6 = r5.<org.apache.tomcat.util.http.mapper.Mapper$ContextVersion: java.lang.Object object>	U	null
r5 = specialinvoke r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$ContextVersion findContextVersion(java.lang.String,java.lang.String,java.lang.String,boolean)>(r2, r3, r4, 1)	U	null
$z0 = virtualinvoke r1.<java.lang.Object: boolean equals(java.lang.Object)>($r6)	U	null
r3 := @parameter2: java.lang.String	R	null
r2 := @parameter1: java.lang.String	R	null
virtualinvoke r5.<org.apache.tomcat.util.http.mapper.Mapper$ContextVersion: void markPaused()>()	R	null
return	R	null
r4 := @parameter3: java.lang.String	R	null
if r5 == null goto return	R	null
if $z0 != 0 goto virtualinvoke r5.<org.apache.tomcat.util.http.mapper.Mapper$ContextVersion: void markPaused()>()	R	null
r1 := @parameter0: java.lang.Object	R	null
