Node	CRUD	DataFlowValue
r0 := @this: org.apache.tomcat.util.http.mapper.Mapper	R	null
$r9 = virtualinvoke $r8.<org.apache.tomcat.util.http.mapper.Mapper$Host: org.apache.tomcat.util.http.mapper.Mapper$Host getRealHost()>()	U	null
r3 = (org.apache.tomcat.util.http.mapper.Mapper$Host[]) $r7	U	null
$r4 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts>	U	null
if i1 < $i3 goto $r8 = r3[i1]	R	null
r1 := @parameter0: java.lang.String	R	null
i1 = 0	U	null
$r10 = r3[i1]	U	null
if $r9 == r2 goto i1 = i1 + 1	R	null
$r8 = r3[i1]	U	null
$r6 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts>	U	null
$r5 = staticinvoke <org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$MapElement exactFind(org.apache.tomcat.util.http.mapper.Mapper$MapElement[],java.lang.String)>($r4, r1)	U	null
r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts> = $r12	U	null
if r2 == null goto return	R	null
if $z0 == 0 goto $r6 = r0.<org.apache.tomcat.util.http.mapper.Mapper: org.apache.tomcat.util.http.mapper.Mapper$Host[] hosts>	R	null
$r11 = staticinvoke <java.util.Arrays: java.lang.Object[] copyOf(java.lang.Object[],int)>(r3, i0)	U	null
$z0 = virtualinvoke r2.<org.apache.tomcat.util.http.mapper.Mapper$Host: boolean isAlias()>()	U	null
i1 = i1 + 1	U	null
goto [?= $i3 = lengthof r3]	R	null
return	R	null
$r7 = virtualinvoke $r6.<java.lang.Object: java.lang.Object clone()>()	U	null
r2 = (org.apache.tomcat.util.http.mapper.Mapper$Host) $r5	U	null
$i2 = i0	U	null
i0 = 0	U	null
i0 = i0 + 1	U	null
r3[$i2] = $r10	U	null
$r12 = (org.apache.tomcat.util.http.mapper.Mapper$Host[]) $r11	U	null
$i3 = lengthof r3	U	null
