Node	CRUD	DataFlowValue
r0 := @parameter0: java.io.StringReader	R	null
r6 = ""	U	null
if $r12 != $r13 goto (branch)	R	null
$r9 = <org.apache.tomcat.util.http.parser.HttpParser$SkipResult: org.apache.tomcat.util.http.parser.HttpParser$SkipResult NOT_FOUND>	U	null
return $r18	R	null
if r4 == $r17 goto r5 = staticinvoke <org.apache.tomcat.util.http.parser.HttpParser: java.lang.String readToken(java.io.Reader)>(r0)	R	null
r3 = $r10	U	null
$r11 = <org.apache.tomcat.util.http.parser.HttpParser$SkipResult: org.apache.tomcat.util.http.parser.HttpParser$SkipResult NOT_FOUND>	U	null
if r4 != $r16 goto $r17 = <org.apache.tomcat.util.http.parser.HttpParser$SkipResult: org.apache.tomcat.util.http.parser.HttpParser$SkipResult FOUND>	R	null
if $i0 != 0 goto $r8 = staticinvoke <org.apache.tomcat.util.http.parser.HttpParser: org.apache.tomcat.util.http.parser.HttpParser$SkipResult skipConstant(java.io.Reader,java.lang.String)>(r0, "/")	R	null
$r18 = new org.apache.tomcat.util.http.parser.MediaType	C	null
r4 = staticinvoke <org.apache.tomcat.util.http.parser.HttpParser: org.apache.tomcat.util.http.parser.HttpParser$SkipResult skipConstant(java.io.Reader,java.lang.String)>(r0, ";")	U	null
return null	R	null
specialinvoke $r10.<java.util.LinkedHashMap: void <init>()>()	R	null
$r8 = staticinvoke <org.apache.tomcat.util.http.parser.HttpParser: org.apache.tomcat.util.http.parser.HttpParser$SkipResult skipConstant(java.io.Reader,java.lang.String)>(r0, "/")	U	null
virtualinvoke r3.<java.util.LinkedHashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>($r14, r6)	R	null
if $r8 != $r9 goto r2 = staticinvoke <org.apache.tomcat.util.http.parser.HttpParser: java.lang.String readToken(java.io.Reader)>(r0)	R	null
if $i1 != 0 goto $r10 = new java.util.LinkedHashMap	R	null
$r13 = <org.apache.tomcat.util.http.parser.HttpParser$SkipResult: org.apache.tomcat.util.http.parser.HttpParser$SkipResult FOUND>	U	null
$r7 = <java.util.Locale: java.util.Locale ENGLISH>	U	null
if r5 == null goto r4 = staticinvoke <org.apache.tomcat.util.http.parser.HttpParser: org.apache.tomcat.util.http.parser.HttpParser$SkipResult skipConstant(java.io.Reader,java.lang.String)>(r0, ";")	R	null
if r2 == null goto return null	R	null
$i1 = virtualinvoke r2.<java.lang.String: int length()>()	U	null
$r16 = <org.apache.tomcat.util.http.parser.HttpParser$SkipResult: org.apache.tomcat.util.http.parser.HttpParser$SkipResult NOT_FOUND>	U	null
r5 = staticinvoke <org.apache.tomcat.util.http.parser.HttpParser: java.lang.String readToken(java.io.Reader)>(r0)	U	null
$r10 = new java.util.LinkedHashMap	C	null
$r14 = virtualinvoke r5.<java.lang.String: java.lang.String toLowerCase(java.util.Locale)>($r7)	U	null
r6 = staticinvoke <org.apache.tomcat.util.http.parser.HttpParser: java.lang.String readTokenOrQuotedString(java.io.Reader,boolean)>(r0, 1)	U	null
specialinvoke $r18.<org.apache.tomcat.util.http.parser.MediaType: void <init>(java.lang.String,java.lang.String,java.util.LinkedHashMap)>(r1, r2, r3)	R	null
$r12 = staticinvoke <org.apache.tomcat.util.http.parser.HttpParser: org.apache.tomcat.util.http.parser.HttpParser$SkipResult skipConstant(java.io.Reader,java.lang.String)>(r0, "=")	U	null
r2 = staticinvoke <org.apache.tomcat.util.http.parser.HttpParser: java.lang.String readToken(java.io.Reader)>(r0)	U	null
if r4 != $r11 goto $r17 = <org.apache.tomcat.util.http.parser.HttpParser$SkipResult: org.apache.tomcat.util.http.parser.HttpParser$SkipResult FOUND>	R	null
$r17 = <org.apache.tomcat.util.http.parser.HttpParser$SkipResult: org.apache.tomcat.util.http.parser.HttpParser$SkipResult FOUND>	U	null
if r1 == null goto return null	R	null
r1 = staticinvoke <org.apache.tomcat.util.http.parser.HttpParser: java.lang.String readToken(java.io.Reader)>(r0)	U	null
$i0 = virtualinvoke r1.<java.lang.String: int length()>()	U	null
