Node	CRUD	DataFlowValue
r0 := @parameter0: java.lang.String	R	null
specialinvoke $r2.<java.lang.StringBuilder: void <init>()>()	R	null
i1 = $i6 - 1	U	null
i2 = b0	U	null
$i4 = virtualinvoke r0.<java.lang.String: int length()>()	U	null
$c5 = virtualinvoke r0.<java.lang.String: char charAt(int)>(0)	U	null
if $c5 != 34 goto b0 = 0	R	null
b0 = 0	U	null
virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c8)	R	null
virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(c3)	R	null
b0 = 1	U	null
i1 = virtualinvoke r0.<java.lang.String: int length()>()	U	null
$i6 = virtualinvoke r0.<java.lang.String: int length()>()	U	null
$r2 = new java.lang.StringBuilder	C	null
$c8 = virtualinvoke r0.<java.lang.String: char charAt(int)>(i2)	U	null
$r5 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.String toString()>()	U	null
$c7 = virtualinvoke r0.<java.lang.String: char charAt(int)>(i2)	U	null
if $i4 >= 2 goto $c5 = virtualinvoke r0.<java.lang.String: char charAt(int)>(0)	R	null
i2 = i2 + 1	U	null
c3 = virtualinvoke r0.<java.lang.String: char charAt(int)>(i2)	U	null
if $c7 != 92 goto virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(c3)	R	null
r1 = $r2	U	null
if r0 == null goto return r0	R	null
return $r5	R	null
goto [?= (branch)]	R	null
goto [?= $r2 = new java.lang.StringBuilder]	R	null
return r0	R	null
if i2 < i1 goto c3 = virtualinvoke r0.<java.lang.String: char charAt(int)>(i2)	R	null
goto [?= i2 = i2 + 1]	R	null
