Node	CRUD	DataFlowValue
r0 := @parameter0: java.lang.String[]	R	[]
virtualinvoke r2.<java.lang.Exception: void printStackTrace()>()	R	[r0, $r3, r1, $r4, r2]
r2 = $r4	U	[r0, $r3, r1, $r4]
virtualinvoke r1.<sample.functionA.MethodsA: int method01(int,int)>(1, 20)	R	[r0, $r3, r1]
specialinvoke $r3.<sample.functionA.MethodsA: void <init>()>()	R	[r0, $r3]
$r4 := @caughtexception	R	[r0, $r3, r1]
return	R	[r0, $r3, r1]
goto [?= return]	R	[r0, $r3, r1]
r1 = $r3	U	[r0, $r3]
<sample.common.SharedVarX: java.lang.String publicStr> = "test"	U	[r0]
$r3 = new sample.functionA.MethodsA	C	[r0]
