step_c,ccna_c,idau_c,edge_dencity_c,graph_degree_c,eccentricity_centrality_c,centralization_c,page_rank_c,bonpow_c,betweenness_c,teaching_c
31,17,0.290322581,0.066666667,1.033333333,9.15E-06,48700.30192,0.0420881,0.156859426,870.5035714,1
NA,1,NA,0.5,0,0.125,90410.05714,0.105570945,1,0,1
51,20,0.31372549,0.029487179,0.830769231,5.24E-07,33305.87902,0.023617111,0.118497922,10909.73333,1
29,10,0.482758621,0.044615385,0.264615385,1.57E-06,43420.47273,0.034438838,0.151109542,2157.76,1
15,5,0.533333333,0.071428571,0.428571429,6.96E-06,29334.05348,0.055002187,0.212380941,580.0666667,1
25,5,0.64,0.065789474,1.105263158,8.45E-07,49913.93927,0.043607986,0.242018666,186.1947368,1
54,10,0.611111111,0.021176471,0.185882353,2.00E-07,14420.63156,0.018534683,0.072403197,77232.95843,1
78,18,0.538461538,0.019969278,1.479262673,1.14E-07,24085.0673,0.015289029,0.186317007,47458.61802,1
23,3,0.782608696,0.045454545,0.181818182,1.80E-06,46441.63589,0.038586678,0.086859243,375.5217391,1
73,14,0.547945205,0.019301957,0.855631941,9.29E-08,24378.55,0.015477932,0.159632626,43857.51983,1
73,14,0.547945205,0.019301957,0.855631941,9.29E-08,24378.55,0.015477932,0.159632626,43857.51983,1
13,0,0.307692308,0.071428571,0.131868132,3.64E-06,58685.96591,0.058138663,0.079861998,224,1
15,0,0.266666667,0.0625,0.116666667,2.05E-06,55438.99664,0.052170143,0.069245463,380.8,1
72,27,0.458333333,0.021476104,1.058681186,2.01E-07,25627.64046,0.016561182,0.13621066,42472.67393,1
73,32,0.452054795,0.022222222,1.096296296,1.96E-07,26651.77953,0.01744895,0.115434342,68240.28148,1
65,12,0.538461538,0.017759563,0.149180328,6.33E-08,24679.27073,0.015668333,0.079539355,58636.68197,1
20,4,0.4,0.065359477,0.653594771,7.98E-06,52531.85586,0.047642851,0.234030175,446.7712418,1
26,5,0.384615385,0.043333333,0.243333333,8.06E-07,44382.94027,0.035702911,0.107081727,2818.473333,1
82,29,0.5,0.017788462,1.109615385,1.84E-07,23518.79561,0.015021021,0.100845535,42818.975,1
19,7,0.421052632,0.062091503,0.339869281,6.41E-06,26971.61862,0.047311325,0.175333305,694.3300654,1
70,20,0.5,0.017361111,0.25,6.97E-09,13140.73288,0.014940517,0.122083356,38056.1746,1
7,0,0.714285714,0.125,0.214285714,4.36E-05,71185.61538,0.087446065,0.147861722,24,1
